scenario,phi_deg,power_w,target_fill_factor,reflector_area_m2,pv_area_m2,variable_structure_mass_kg,total_mass_budget_kg,fixed_mass_max_kg,acs3_bus_mass_kg,acs3_bus_margin_kg,acs3_bus_ratio_to_allowance,feasible_for_acs3_bus,feasible_even_before_fixed_mass
acs3_lines_dyneema_1p25mm,1.0,10000.0,0.05,536.316684275731,26.81583421378655,1.6040976618139293,18.10729385408348,12.352105055975393,8.3,4.052105055975392,0.6719502434918843,True,True
acs3_lines_dyneema_1p25mm,1.0,10000.0,0.1,268.1583421378655,26.81583421378655,1.1342683343541147,9.05364692704174,5.109079167082795,8.3,-3.1909208329172056,1.624558893797524,False,True
acs3_lines_dyneema_1p25mm,1.0,10000.0,0.25,107.2633368551462,26.81583421378655,0.7173742828728837,3.6214587708166968,0.8982600887525791,8.3,-7.401739911247422,9.24008547627478,False,True
acs3_lines_dyneema_1p25mm,1.0,30000.0,0.05,1608.950052827193,80.44750264135966,2.778378650564166,54.321881562250454,39.090229502803815,8.3,30.790229502803815,0.21232927269983587,True,True
acs3_lines_dyneema_1p25mm,1.0,30000.0,0.1,804.4750264135965,80.44750264135966,1.9646103845178509,27.160940781125227,16.765432119792887,8.3,8.465432119792887,0.49506627331133385,True,True
acs3_lines_dyneema_1p25mm,1.0,30000.0,0.25,321.79001056543865,80.44750264135966,1.2425287059791223,10.86437631245009,3.6043744088972662,8.3,-4.6956255911027345,2.3027574437083325,False,True
acs3_lines_dyneema_1p25mm,1.0,100000.0,0.05,5363.16684275731,268.15834213786553,5.072602200682523,181.07293854083485,134.48942497721075,8.3,126.18942497721075,0.061714889489686175,True,True
acs3_lines_dyneema_1p25mm,1.0,100000.0,0.1,2681.583421378655,268.15834213786553,3.586871414364415,90.53646927041743,58.846603600004705,8.3,50.5466036000047,0.14104467364705034,True,True
acs3_lines_dyneema_1p25mm,1.0,100000.0,0.25,1072.6333685514621,268.15834213786553,2.2685366687082293,36.21458770816697,13.8878070475464,8.3,5.587807047546399,0.5976465522298847,True,True
acs3_lines_dyneema_1p25mm,2.0,10000.0,0.05,536.316684275731,26.81583421378655,1.6040976618139293,9.055026051368367,3.2998372532602804,8.3,-5.00016274673972,2.5152755614839784,False,True
acs3_lines_dyneema_1p25mm,2.0,10000.0,0.1,268.1583421378655,26.81583421378655,1.1342683343541147,4.527513025684184,0.5829452657252387,8.3,-7.717054734274762,14.23804341162977,False,True
acs3_lines_dyneema_1p25mm,2.0,10000.0,0.25,107.2633368551462,26.81583421378655,0.7173742828728837,1.8110052102736738,-0.9121934717904439,8.3,-9.212193471790444,,False,False
acs3_lines_dyneema_1p25mm,2.0,30000.0,0.05,1608.950052827193,80.44750264135966,2.778378650564166,27.165078154105107,11.933426094658465,8.3,3.6334260946584642,0.6955253197332134,True,True
acs3_lines_dyneema_1p25mm,2.0,30000.0,0.1,804.4750264135965,80.44750264135966,1.9646103845178509,13.582539077052553,3.1870304157202103,8.3,-5.11296958427979,2.6043052363290213,False,True
acs3_lines_dyneema_1p25mm,2.0,30000.0,0.25,321.79001056543865,80.44750264135966,1.2425287059791223,5.433015630821021,-1.8269862727318031,8.3,-10.126986272731804,,False,False
acs3_lines_dyneema_1p25mm,2.0,100000.0,0.05,5363.16684275731,268.15834213786553,5.072602200682523,90.5502605136837,43.96674695005959,8.3,35.66674695005959,0.1887790336052768,True,True
acs3_lines_dyneema_1p25mm,2.0,100000.0,0.1,2681.583421378655,268.15834213786553,3.586871414364415,45.27513025684185,13.585264586429128,8.3,5.285264586429127,0.6109560801849386,True,True
acs3_lines_dyneema_1p25mm,2.0,100000.0,0.25,1072.6333685514621,268.15834213786553,2.2685366687082293,18.110052102736738,-4.216728557883831,8.3,-12.516728557883832,,False,False
acs3_lines_dyneema_2mm,1.0,10000.0,0.05,536.316684275731,26.81583421378655,1.6735731982169089,18.10729385408348,12.282629519572414,8.3,3.982629519572413,0.6757510667218222,True,True
acs3_lines_dyneema_2mm,1.0,10000.0,0.1,268.1583421378655,26.81583421378655,1.1833949572712346,9.05364692704174,5.059952544165675,8.3,-3.2400474558343255,1.640331589585801,False,True
acs3_lines_dyneema_2mm,1.0,10000.0,0.25,107.2633368551462,26.81583421378655,0.7484446873069466,3.6214587708166968,0.8671896843185163,8.3,-7.432810315681484,9.57114706285117,False,True
acs3_lines_dyneema_2mm,1.0,30000.0,0.05,1608.950052827193,80.44750264135966,2.8987138094972256,54.321881562250454,38.969894343870756,8.3,30.669894343870755,0.21298492438190142,True,True
acs3_lines_dyneema_2mm,1.0,30000.0,0.1,804.4750264135965,80.44750264135966,2.049700191414578,27.160940781125227,16.68034231289616,8.3,8.380342312896158,0.4975917067111374,True,True
acs3_lines_dyneema_2mm,1.0,30000.0,0.25,321.79001056543865,80.44750264135966,1.2963442250706336,10.86437631245009,3.550558889805755,8.3,-4.749441110194246,2.3376601424160803,False,True
acs3_lines_dyneema_2mm,1.0,100000.0,0.05,5363.16684275731,268.15834213786553,5.292303137377877,181.07293854083485,134.2697240405154,8.3,125.9697240405154,0.06181587144318183,True,True
acs3_lines_dyneema_2mm,1.0,100000.0,0.1,2681.583421378655,268.15834213786553,3.7422234365347364,90.53646927041743,58.691251577834386,8.3,50.39125157783438,0.14141800995660855,True,True
acs3_lines_dyneema_2mm,1.0,100000.0,0.25,1072.6333685514621,268.15834213786553,2.366789914542469,36.21458770816697,13.78955380171216,8.3,5.489553801712159,0.6019048998503087,True,True
acs3_lines_dyneema_2mm,2.0,10000.0,0.05,536.316684275731,26.81583421378655,1.6735731982169089,9.055026051368367,3.230361716857301,8.3,-5.0696382831427,2.5693717074119995,False,True
acs3_lines_dyneema_2mm,2.0,10000.0,0.1,268.1583421378655,26.81583421378655,1.1833949572712346,4.527513025684184,0.5338186428081189,8.3,-7.766181357191882,15.548351695509137,False,True
acs3_lines_dyneema_2mm,2.0,10000.0,0.25,107.2633368551462,26.81583421378655,0.7484446873069466,1.8110052102736738,-0.9432638762245067,8.3,-9.243263876224507,,False,False
acs3_lines_dyneema_2mm,2.0,30000.0,0.05,1608.950052827193,80.44750264135966,2.8987138094972256,27.165078154105107,11.813090935725405,8.3,3.5130909357254048,0.7026103536457983,True,True
acs3_lines_dyneema_2mm,2.0,30000.0,0.1,804.4750264135965,80.44750264135966,2.049700191414578,13.582539077052553,3.101940608823483,8.3,-5.198059391176518,2.6757443312714035,False,True
acs3_lines_dyneema_2mm,2.0,30000.0,0.25,321.79001056543865,80.44750264135966,1.2963442250706336,5.433015630821021,-1.8808017918233144,8.3,-10.180801791823315,,False,False
acs3_lines_dyneema_2mm,2.0,100000.0,0.05,5363.16684275731,268.15834213786553,5.292303137377877,90.5502605136837,43.74704601336423,8.3,35.44704601336423,0.18972709602985408,True,True
acs3_lines_dyneema_2mm,2.0,100000.0,0.1,2681.583421378655,268.15834213786553,3.7422234365347364,45.27513025684185,13.429912564258807,8.3,5.129912564258806,0.618023383271228,True,True
acs3_lines_dyneema_2mm,2.0,100000.0,0.25,1072.6333685514621,268.15834213786553,2.366789914542469,18.110052102736738,-4.314981803718071,8.3,-12.614981803718072,,False,False
