delta_alpha_deg,delta_alpha_rad,exact_axial_fraction,approx_axial_fraction,axial_relative_error,exact_radial_fraction,approx_radial_fraction,radial_relative_error
0.1,0.0017453292519943296,9.134743493386929e-06,9.138522593601258e-06,0.00041370622142424766,0.0037023911737969033,0.003702402448465305,3.045239649818981e-06
0.25,0.004363323129985824,5.7056256097925687e-05,5.711576621000786e-05,0.0010430076586174222,0.009255830037219916,0.009256006121163262,1.9024111574898303e-05
0.5,0.008726646259971648,0.00022798083565523167,0.00022846306484003144,0.00211521807705378,0.01851060469235465,0.018512012242326525,7.60401940006223e-05
1.0,0.017453292519943295,0.0009098962796912347,0.0009138522593601258,0.004347725952054125,0.03701278257522933,0.03702402448465305,0.0003037304585481937
2.0,0.03490658503988659,0.0036221984798077357,0.003655409037440503,0.009168618952799659,0.07395842690240849,0.0740480489693061,0.0012117897939591168
