phi_deg,cone_angle_offset_deg,axial_residual_fraction,radial_residual_fraction
0.5,0.1,9.13474349349644e-06,0.0037023911737966674
0.5,0.25,5.7056256097972e-05,0.009255830037219791
0.5,0.5,0.00022798083565524264,0.018510604692354424
0.5,1.0,0.0009098962796913263,0.0370127825752292
0.5,2.0,0.003622198479807791,0.07395842690240836
1.0,0.1,9.134743493386929e-06,0.0037023911737969033
1.0,0.25,5.7056256097925687e-05,0.009255830037219916
1.0,0.5,0.00022798083565523167,0.01851060469235465
1.0,1.0,0.0009098962796912347,0.03701278257522933
1.0,2.0,0.0036221984798077357,0.07395842690240849
1.5,0.1,9.134743493655677e-06,0.0037023911737968035
1.5,0.25,5.7056256098130763e-05,0.009255830037219857
1.5,0.5,0.0002279808356553307,0.018510604692354552
1.5,1.0,0.000909896279691499,0.03701278257522935
1.5,2.0,0.0036221984798079244,0.0739584269024085
2.0,0.1,9.134743493474976e-06,0.0037023911737967753
2.0,0.25,5.705625609796958e-05,0.009255830037219857
2.0,0.5,0.0002279808356552175,0.01851060469235453
2.0,1.0,0.0009098962796913402,0.03701278257522931
2.0,2.0,0.0036221984798077396,0.07395842690240857
