scenario,phi_deg,power_required_w,feasible,reflector_area_m2,reflector_side_m,pv_area_m2,pv_fill_factor,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg
cross_light,0.25,100.0,True,7.243744352474702,2.6914205082957032,0.26815834213786555,0.037019299562422274,0.9273020093839506,128.01418220497436,135.0428398209951,135.0428398209951,0.0,0.037019299562422274,2.121534382286514
cross_nominal,0.25,100.0,True,12.51426412586414,3.537550582799367,0.26815834213786555,0.021428214990575692,1.6126953680482208,128.86857363951157,135.04283982099514,135.0428398209951,-2.842170943040401e-14,0.021428214990575692,1.2278402579270096
perimeter_nominal,0.25,100.0,True,15.071903164450843,3.8822549071964407,0.26815834213786555,0.017791936374057515,1.9452980118630756,129.06784170769677,135.0428398209951,135.0428398209951,0.0,0.017791936374057515,1.0194566537672585
cross_light,0.25,300.0,True,7.5352001558121255,2.7450319043341054,0.8044750264135966,0.10676226374598435,0.9358135954339486,124.19226776771518,135.04283982099514,135.0428398209951,-2.842170943040401e-14,0.10676226374598435,6.128707632113243
cross_nominal,0.25,300.0,True,12.792323377204932,3.576635762445616,0.8044750264135966,0.06288732724245523,1.619464828432767,126.59661428810855,135.0428398209951,135.0428398209951,0.0,0.06288732724245523,3.60555765708763
perimeter_nominal,0.25,300.0,True,15.369264807198523,3.9203653920519352,0.8044750264135966,0.05234310401345962,1.9545776100415098,127.17443772105753,135.0428398209951,135.0428398209951,0.0,0.05234310401345962,3.00041009918698
cross_light,0.25,1000.0,True,8.54337100406151,2.9229045492560153,2.6815834213786554,0.31387884479133976,0.9640534555209549,112.84227912642969,135.0428398209951,135.0428398209951,0.0,0.31387884479133976,18.293143946246307
cross_nominal,0.25,1000.0,True,13.760269773967716,3.7094837611138987,2.6815834213786554,0.19487869536190291,1.642473786618214,119.36348731516284,135.0428398209951,135.0428398209951,0.0,0.19487869536190291,11.237637402131988
perimeter_nominal,0.25,1000.0,True,16.403157028913164,4.050081113868359,2.6815834213786554,0.16347971409722772,1.9861623505780344,121.08415148846704,135.0428398209951,135.0428398209951,0.0,0.16347971409722772,9.40892934793807
cross_light,0.25,3000.0,True,11.347556904510554,3.368613498831612,8.044750264135965,0.708941169613192,1.0348162104182426,91.1928637261922,135.0428398209951,135.0428398209951,0.0,0.708941169613192,45.14883115345523
cross_nominal,0.25,3000.0,True,16.487836121113375,4.060521656279323,8.044750264135965,0.4879203192609563,1.703272717218113,103.30480632549471,135.0428398209951,135.0428398209951,0.0,0.4879203192609563,29.203981611388535
perimeter_nominal,0.25,3000.0,True,19.307122294953228,4.393987061309264,8.044750264135965,0.41667267349514936,2.069900697532315,107.20917731346091,135.04283982099508,135.0428398209951,2.842170943040401e-14,0.41667267349514936,24.62469694839566
cross_light,0.25,10000.0,True,20.699607004531032,4.549682077302878,26.81583421378655,1.2954755231786146,1.2223279631322745,59.05078115080705,135.04283982099508,135.0428398209951,2.842170943040401e-14,1.0,90.0
cross_nominal,0.25,10000.0,True,25.74811076230278,5.074259627009913,26.81583421378655,1.0414680308524618,1.878849728639878,72.97039173028021,135.0428398209951,135.0428398209951,0.0,1.0,90.0
perimeter_nominal,0.25,10000.0,True,29.08850346322075,5.393375887440143,26.81583421378655,0.9218705337554495,2.313243881584575,79.52433457119649,135.04283982099514,135.0428398209951,-2.842170943040401e-14,0.9218705337554496,67.20109150859766
cross_light,0.25,30000.0,True,46.02827172633263,6.784413882299091,80.44750264135966,1.747784559882484,1.5771240225982042,34.26424593943501,135.04283982099508,135.0428398209951,2.842170943040401e-14,1.0,90.0
cross_nominal,0.25,30000.0,True,51.112079477044134,7.149271254963273,80.44750264135966,1.5739430573841333,2.238236819604713,43.79076027634462,135.04283982099514,135.0428398209951,-2.842170943040401e-14,1.0,90.0
perimeter_nominal,0.25,30000.0,True,55.5450298850212,7.452853808107415,80.44750264135966,1.448329451039757,2.8147102794436902,50.67438590401644,135.0428398209951,135.0428398209951,0.0,1.0,90.0
cross_light,0.25,100000.0,True,130.80998119085234,11.437219119648462,268.15834213786553,2.049983798611066,2.315824281834365,17.703727657108725,135.0428398209951,135.0428398209951,0.0,1.0,90.0
cross_nominal,0.25,100000.0,True,136.2370325733294,11.672062053181923,268.15834213786553,1.9683219538236028,3.021573455466139,22.178796751461693,135.0428398209951,135.0428398209951,0.0,1.0,90.0
perimeter_nominal,0.25,100000.0,True,143.08920045112083,11.961989819888698,268.15834213786553,1.874064159226805,3.912648825224339,27.344123895366213,135.0428398209951,135.0428398209951,0.0,1.0,90.0
cross_light,0.5,100.0,True,19.42364040163175,4.40722593040472,0.26815834213786555,0.013805771554303382,1.1997109853575068,61.765506390692906,67.52206267186872,67.52206267186872,0.0,0.013805771554303382,0.7910375728788334
cross_nominal,0.5,100.0,True,31.86742538453899,5.645124036240389,0.26815834213786555,0.00841481038716002,1.9777220899340922,62.06093106265236,67.52206267186872,67.52206267186872,0.0,0.00841481038716002,0.48213881066516906
perimeter_nominal,0.5,100.0,True,41.23888274988842,6.421750754263857,0.26815834213786555,0.006502560793516917,2.5636449346572148,62.165722340384,67.52206267186872,67.52206267186872,0.0,0.006502560793516917,0.37257191512203053
cross_light,0.5,300.0,True,20.081723397536916,4.48126359384682,0.8044750264135966,0.040060059113864094,1.2114655373724705,60.32677143242898,67.52206267186872,67.52206267186872,0.0,0.040060059113864094,2.2958866700619436
cross_nominal,0.5,300.0,True,32.48936385805232,5.699944197801617,0.8044750264135966,0.02476118122621264,1.9872168118548288,61.16514994067227,67.52206267186871,67.52206267186872,1.4210854715202004e-14,0.02476118122621264,1.4188561924766525
perimeter_nominal,0.5,300.0,True,41.912343948705185,6.473974354961965,0.8044750264135966,0.019194226583895208,2.5763609636383986,61.47021905507127,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.019194226583895208,1.0998157133711834
cross_light,0.5,1000.0,True,22.353373934350785,4.727935483310954,2.6815834213786554,0.11996325159925068,1.2506282745596464,55.948076484229794,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.11996325159925067,6.889981730304494
cross_nominal,0.5,1000.0,True,34.65159284412588,5.886560357638905,2.6815834213786554,0.07738701748693887,2.019538287988966,58.281254113584474,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.07738701748693887,4.438387096797732
perimeter_nominal,0.5,1000.0,True,44.25168883949654,6.652194287563806,2.6815834213786554,0.06059844249345862,2.6197560914674862,59.2012680232272,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.060598442493458624,3.4741635036318255
cross_light,0.5,3000.0,True,28.637275920238288,5.351380748950525,8.044750264135965,0.28091883762067776,1.3496092453620845,47.127710370255585,67.52206267186872,67.52206267186872,0.0,0.28091883762067776,16.315051454247868
cross_nominal,0.5,3000.0,True,40.723401570557236,6.3814889775472645,8.044750264135965,0.19754612713767675,2.105258750731406,51.69653490472404,67.52206267186872,67.52206267186872,0.0,0.19754612713767675,11.393499781837576
perimeter_nominal,0.5,3000.0,True,50.804385954404765,7.127719547962361,8.044750264135965,0.15834755431068215,2.735542688172451,53.844616695643346,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.15834755431068215,9.110995365314096
cross_light,0.5,10000.0,True,49.33745473067501,7.024062551734218,26.81583421378655,0.5435188004766307,1.6151717218262467,32.737232405749374,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.5435188004766307,32.92350164792422
cross_nominal,0.5,10000.0,True,61.162876035332125,7.820669794546508,26.81583421378655,0.43843317960221123,2.35452145375727,38.495924429667554,67.52206267186872,67.52206267186872,0.0,0.43843317960221123,26.003954496833668
perimeter_nominal,0.5,10000.0,True,72.70562001565267,8.52675905697192,26.81583421378655,0.3688275295364157,3.076197616300207,42.31031405327315,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.3688275295364157,21.64332615580146
cross_light,0.5,30000.0,True,104.46240495060395,10.220685150742291,80.44750264135966,0.7701096167506389,2.122681884429282,20.320055673933723,67.52206267186872,67.52206267186872,0.0,0.7701096167506389,50.36373336147704
cross_nominal,0.5,30000.0,True,116.39199962525132,10.788512391671583,80.44750264135966,0.6911772535945548,2.868544750327575,24.645549174887122,67.52206267186872,67.52206267186872,0.0,0.6911772535945548,43.72337108343247
perimeter_nominal,0.5,30000.0,True,131.09686920980621,11.449754111325108,80.44750264135966,0.6136493047184233,3.787923528074773,28.894080773299134,67.52206267186871,67.52206267186872,1.4210854715202004e-14,0.6136493047184233,37.85384179599584
cross_light,0.5,100000.0,True,285.9778379076466,16.910879276597257,268.15834213786553,0.9376892422847967,3.1848471552723634,11.136692194661865,67.52206267186872,67.52206267186872,0.0,0.9376892422847967,69.66704679865514
cross_nominal,0.5,100000.0,True,298.9277972353727,17.289528542888977,268.15834213786553,0.8970672671391627,3.9945053239586077,13.362776432642613,67.52206267186871,67.52206267186872,1.4210854715202004e-14,0.8970672671391627,63.775210843969035
perimeter_nominal,0.5,100000.0,True,320.7848900631589,17.91046872818126,268.15834213786553,0.8359444301914226,5.361055851562312,16.71230789737877,67.52206267186872,67.52206267186872,0.0,0.8359444301914226,56.7143071615533
cross_light,0.75,100.0,True,36.994479486760696,6.082308729977515,0.26815834213786555,0.007248604274425108,1.4656546548568508,39.61819912566598,45.01542263990448,45.015422639904486,7.105427357601002e-15,0.007248604274425109,0.4153180692977937
cross_nominal,0.75,100.0,True,58.44771725048259,7.645110676143452,0.26815834213786555,0.004588003685219228,2.324115030966542,39.764000037954474,45.015422639904486,45.015422639904486,0.0,0.004588003685219228,0.2628741697995084
perimeter_nominal,0.75,100.0,True,79.67108190824337,8.925865891231133,0.26815834213786555,0.0033658177561427076,3.173376937587651,39.83097582686786,45.01542263990448,45.015422639904486,7.105427357601002e-15,0.0033658177561427076,0.1928475161578857
cross_light,0.75,300.0,True,38.08065014951776,6.170952126659042,0.8044750264135966,0.0211255591292415,1.47972807868783,38.85774199962205,45.015422639904486,45.015422639904486,0.0,0.0211255591292415,1.21049542786327
cross_nominal,0.75,300.0,True,59.47043883999354,7.711707906812443,0.8044750264135966,0.013527309401197686,2.3356495133154676,39.27412608471885,45.01542263990449,45.015422639904486,-7.105427357601002e-15,0.013527309401197686,0.7750813765266494
perimeter_nominal,0.75,300.0,True,80.78337568424361,8.987957258701423,0.8044750264135966,0.009958422999776987,3.1884956888357263,39.46970105951671,45.015422639904486,45.015422639904486,0.0,0.009958422999776987,0.5705850395959022
cross_light,0.75,1000.0,True,41.82757453208652,6.467424103310878,2.6815834213786554,0.06411042120842017,1.526797301411997,36.50217155768306,45.015422639904486,45.015422639904486,0.0,0.06411042120842017,3.6757774936643486
cross_nominal,0.75,1000.0,True,63.02379902729725,7.938752989437148,2.6815834213786554,0.04254874289976064,2.3749731829581506,37.683751528997604,45.015422639904486,45.015422639904486,0.0,0.04254874289976064,2.438599574481307
perimeter_nominal,0.75,1000.0,True,84.6464146293806,9.200348614556983,2.6815834213786554,0.031679822862194604,3.2402112848557088,38.27936834705622,45.015422639904486,45.015422639904486,0.0,0.031679822862194604,1.8154238954042843
cross_light,0.75,3000.0,True,52.16947072684898,7.222843673155953,8.044750264135965,0.15420417635166347,1.6467311055603362,31.565033775833328,45.015422639904486,45.015422639904486,0.0,0.15420417635166347,8.870644018702032
cross_nominal,0.75,3000.0,True,72.98419102423924,8.543078544894646,8.044750264135965,0.11022592908461741,2.4796409353918056,33.97504172606745,45.015422639904486,45.015422639904486,0.0,0.11022592908461741,6.32833955020643
perimeter_nominal,0.75,3000.0,True,95.45946949807909,9.770336201895976,8.044750264135965,0.08427398880839002,3.378998702472055,35.397208053204714,45.015422639904486,45.015422639904486,0.0,0.08427398880839002,4.834277696486405
cross_light,0.75,10000.0,True,86.0159810220594,9.274480094434372,26.81583421378655,0.3117540937760094,1.9724581194682076,22.931298300979172,45.01542263990448,45.015422639904486,7.105427357601002e-15,0.3117540937760094,18.1649721654184
cross_nominal,0.75,10000.0,True,106.34961199496047,10.312594823562131,26.81583421378655,0.252147927112863,2.7861169566526964,26.1977162341196,45.015422639904486,45.015422639904486,0.0,0.252147927112863,14.604651926821495
perimeter_nominal,0.75,10000.0,True,131.48933250572222,11.466879806892642,26.81583421378655,0.20393923752422705,3.792093497939903,28.839552423576848,45.015422639904486,45.015422639904486,0.0,0.20393923752422705,11.76741007304646
cross_light,0.75,30000.0,True,175.17876751494836,13.235511607601286,80.44750264135966,0.45923089757150454,2.601329274901721,14.849569452986042,45.015422639904486,45.015422639904486,0.0,0.45923089757150454,27.337489857196477
cross_nominal,0.75,30000.0,True,195.7122784200159,13.989720455392092,80.44750264135966,0.41104984976319264,3.422986392049086,17.489890872881535,45.01542263990449,45.015422639904486,-7.105427357601002e-15,0.41104984976319264,24.27080179932427
perimeter_nominal,0.75,30000.0,True,226.7995523911354,15.059865616636007,80.44750264135966,0.35470750181473465,4.666956798725934,20.57745154045703,45.015422639904486,45.015422639904486,0.0,0.35470750181473465,20.775518912115743
cross_light,0.75,100000.0,True,465.3159694879145,21.571183775767025,268.15834213786553,0.5762930131819392,3.9247380310007727,8.434565517534228,45.015422639904486,45.015422639904486,0.0,0.5762930131819392,35.19023307435935
cross_nominal,0.75,100000.0,True,487.8230096422587,22.08671568256038,268.15834213786553,0.5497041690069466,4.825366755150152,9.89163417832381,45.01542263990448,45.015422639904486,7.105427357601002e-15,0.5497041690069466,33.34672009510924
