scenario,phi_deg,target_fill_factor,relative_to_ideal_swarm_same_eta,equivalent_ideal_ring_half_angle_deg,feasible,minimum_power_w,reflector_area_m2,reflector_side_m,pv_area_m2,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2
cross_light,0.25,0.01,0.01,0.5729673448571527,True,26.612527940830265,7.136371372710669,2.6713987670714134,0.07136371372710669,0.924123267812303,129.4948398209951,135.0428398209951,135.0428398209951,0.0
cross_nominal,0.25,0.01,0.01,0.5729673448571527,True,46.38904033891531,12.439608150650097,3.5269828679269333,0.12439608150650097,1.6108650649043796,129.4948398209951,135.0428398209951,135.0428398209951,0.0
perimeter_nominal,0.25,0.01,0.01,0.5729673448571527,True,55.96059600946472,15.006300650944913,3.8737966713477507,0.15006300650944915,1.9432384990998064,129.4948398209951,135.0428398209951,135.0428398209951,0.0
cross_light,0.25,0.05,0.05,2.8659839825988622,True,136.04644960313902,7.296398075864087,2.701184569011175,0.3648199037932044,0.9288521955219429,127.30283982099512,135.0428398209951,135.0428398209951,0.0
cross_nominal,0.25,0.05,0.05,2.8659839825988622,True,236.8871603721891,12.70465363983058,3.564358797852789,0.635232681991529,1.617338487292575,127.30283982099512,135.0428398209951,135.0428398209951,0.0
perimeter_nominal,0.25,0.05,0.05,2.8659839825988622,True,286.18835300781143,15.348758856348185,3.9177492079442993,0.7674379428174093,1.9539405901407734,127.30283982099512,135.04283982099514,135.0428398209951,-2.842170943040401e-14
cross_light,0.25,0.1,0.1,5.739170477266787,True,279.9091215843973,7.505996599333822,2.7397073930136813,0.7505996599333823,0.9349682520997531,124.56283982099512,135.04283982099514,135.0428398209951,-2.842170943040401e-14
cross_nominal,0.25,0.1,0.1,5.739170477266787,True,486.7000830160019,13.05126873799326,3.612653974295526,1.305126873799326,1.6257030972714155,124.56283982099512,135.0428398209951,135.0428398209951,0.0
perimeter_nominal,0.25,0.1,0.1,5.739170477266787,True,589.1122893257918,15.79753748386469,3.9746116142164998,1.5797537483864692,1.9677861311688039,124.56283982099512,135.04283982099514,135.0428398209951,-2.842170943040401e-14
cross_light,0.25,0.25,0.25,14.477512185929925,True,765.1269723729903,8.207007217460221,2.8647874646228506,2.0517518043650553,0.9548265261107254,116.34283982099511,135.0428398209951,135.0428398209951,0.0
cross_nominal,0.25,0.25,0.25,14.477512185929925,True,1324.4341836785982,14.206322998638807,3.769127617717236,3.551580749659702,1.6528039610759537,116.34283982099512,135.0428398209951,135.0428398209951,0.0
perimeter_nominal,0.25,0.25,0.25,14.477512185929925,True,1612.8869794343743,17.30036393843486,4.159370618066496,4.325090984608715,2.0127734705342473,116.34283982099512,135.04283982099514,135.0428398209951,-2.842170943040401e-14
cross_light,0.25,0.5,0.5,29.999999999999996,True,1805.8138705660986,9.684881074811342,3.1120541567927993,4.842440537405671,0.9940836968472476,102.64283982099512,135.0428398209951,135.0428398209951,0.0
cross_nominal,0.25,0.5,0.5,29.999999999999996,True,3099.285853134421,16.621987123757332,4.077007128244606,8.310993561878666,1.706127961850467,102.6428398209951,135.0428398209951,135.0428398209951,0.0
perimeter_nominal,0.25,0.5,0.5,29.999999999999996,True,3818.1313505423755,20.47727546052106,4.525182367653381,10.23863773026053,2.1018457050646573,102.6428398209951,135.04283982099514,135.0428398209951,-2.842170943040401e-14
cross_light,0.5,0.01,0.01,0.5729673448571527,True,72.08968326501069,19.331449949589096,4.396754479111734,0.19331449949589097,1.1980484907139282,61.97406267186873,67.52206267186872,67.52206267186872,0.0
cross_nominal,0.5,0.01,0.01,0.5729673448571527,True,119.05942669142345,31.926778477456853,5.650378613637926,0.3192677847745685,1.9786321702727807,61.97406267186873,67.52206267186872,67.52206267186872,0.0
perimeter_nominal,0.5,0.01,0.01,0.5729673448571527,True,154.47043530192644,41.42253583987901,6.4360341701919985,0.4142253583987901,2.56712283216839,61.97406267186872,67.52206267186872,67.52206267186872,0.0
cross_light,0.5,0.05,0.05,2.8659839825988622,True,379.27959339763,20.34139739444644,4.510143833010921,1.017069869722322,1.2160506938681843,59.78206267186873,67.52206267186872,67.52206267186872,0.0
cross_nominal,0.5,0.05,0.05,2.8659839825988622,True,624.5288776335577,33.49452568868735,5.787445523604291,1.6747262844343673,2.002371833885624,59.78206267186872,67.52206267186872,67.52206267186872,0.0
perimeter_nominal,0.5,0.05,0.05,2.8659839825988622,True,813.5328734083769,43.631125321568874,6.605386084217097,2.1815562660784438,2.608358668418189,59.78206267186873,67.52206267186874,67.52206267186872,-1.4210854715202004e-14
cross_light,0.5,0.1,0.1,5.739170477266787,True,810.8675116075457,21.74408876061359,4.66305573209388,2.174408876061359,1.2403276738255968,57.04206267186873,67.52206267186872,67.52206267186872,0.0
cross_nominal,0.5,0.1,0.1,5.739170477266787,True,1329.9400995011063,35.663453222488464,5.971888580883644,3.5663453222488464,2.0343169338124456,57.04206267186872,67.52206267186871,67.52206267186872,1.4210854715202004e-14
perimeter_nominal,0.5,0.1,0.1,5.739170477266787,True,1741.600261979618,46.702463891932666,6.833920096981868,4.670246389193267,2.664004872254309,57.04206267186872,67.52206267186871,67.52206267186872,1.4210854715202004e-14
cross_light,0.5,0.25,0.25,14.477512185929925,True,2535.9655275390564,27.20161246334604,5.215516509737654,6.80040311583651,1.328038828461366,48.82206267186873,67.52206267186872,67.52206267186872,0.0
cross_nominal,0.5,0.25,0.25,14.477512185929925,True,4103.858536997009,44.01935606597777,6.634708438656349,11.004839016494442,2.1491157606284714,48.82206267186873,67.52206267186872,67.52206267186872,0.0
perimeter_nominal,0.5,0.25,0.25,14.477512185929925,True,5471.611007195363,58.690325460512206,7.660961131640873,14.672581365128051,2.8653827478654996,48.82206267186873,67.52206267186872,67.52206267186872,0.0
cross_light,0.5,0.5,0.5,29.999999999999996,True,8266.485116209868,44.33453888140358,6.65841864720172,22.16726944070179,1.5571204531210578,35.12206267186873,67.52206267186872,67.52206267186872,0.0
cross_nominal,0.5,0.5,0.5,29.999999999999996,True,12980.67482459885,69.61752481590312,8.343711692999891,34.80876240795156,2.4451110696445264,35.12206267186873,67.52206267186872,67.52206267186872,0.0
perimeter_nominal,0.5,0.5,0.5,29.999999999999996,True,18014.839233416642,96.61658845426366,9.829373756972702,48.30829422713183,3.3933738748327973,35.12206267186873,67.52206267186872,67.52206267186872,0.0
cross_light,0.75,0.01,0.01,0.5729673448571527,True,138.7444682081413,37.20548657549497,6.099630035952588,0.3720548657549497,1.4684046631983527,39.467422639904484,45.015422639904486,45.015422639904486,0.0
cross_nominal,0.75,0.01,0.01,0.5729673448571527,True,220.25444998229662,59.0630681557401,7.685250038596018,0.590630681557401,2.331067073312078,39.467422639904484,45.015422639904486,45.015422639904486,0.0
perimeter_nominal,0.75,0.01,0.01,0.5729673448571527,True,301.27899598456884,80.79047608418261,8.988352245221735,0.8079047608418262,3.1885918648935307,39.467422639904484,45.015422639904486,45.015422639904486,0.0
cross_light,0.75,0.05,0.05,2.8659839825988622,True,755.6894016112448,40.528883421445414,6.366229922131733,2.0264441710722707,1.510731258657796,37.275422639904484,45.01542263990448,45.015422639904486,7.105427357601002e-15
