scenario,phi_deg,power_required_w,feasible,reflector_area_m2,reflector_side_m,pv_area_m2,pv_fill_factor,structure_mass_kg,structure_areal_density_g_m2,system_areal_density_g_m2,sigma_limit_g_m2,margin_g_m2,relative_to_ideal_swarm_same_eta
cross_light,0.5,100.0,True,19.42364040163175,4.40722593040472,0.26815834213786555,0.013805771554303382,1.1997109853575068,61.765506390692906,67.52206267186872,67.52206267186872,0.0,0.013805771554303382
cross_nominal,0.5,100.0,True,31.86742538453899,5.645124036240389,0.26815834213786555,0.00841481038716002,1.9777220899340922,62.06093106265236,67.52206267186872,67.52206267186872,0.0,0.00841481038716002
perimeter_nominal,0.5,100.0,True,41.23888274988842,6.421750754263857,0.26815834213786555,0.006502560793516917,2.5636449346572148,62.165722340384,67.52206267186872,67.52206267186872,0.0,0.006502560793516917
perimeter_heavy,0.5,100.0,True,127.92597767144805,11.310436670237275,0.26815834213786555,0.0020961992788249457,7.983500916185199,62.40719095138912,67.52206267186871,67.52206267186872,1.4210854715202004e-14,0.0020961992788249457
cross_light,0.5,1000.0,True,22.353373934350785,4.727935483310954,2.6815834213786554,0.11996325159925068,1.2506282745596464,55.948076484229794,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.11996325159925067
cross_nominal,0.5,1000.0,True,34.65159284412588,5.886560357638905,2.6815834213786554,0.07738701748693887,2.019538287988966,58.281254113584474,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.07738701748693887
perimeter_nominal,0.5,1000.0,True,44.25168883949654,6.652194287563806,2.6815834213786554,0.06059844249345862,2.6197560914674862,59.2012680232272,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.060598442493458624
perimeter_heavy,0.5,1000.0,True,130.52332043901774,11.42468032108635,2.6815834213786554,0.02054486058398681,8.01363644913712,61.39620431186624,67.52206267186872,67.52206267186872,0.0,0.02054486058398681
cross_light,0.5,10000.0,True,49.33745473067501,7.024062551734218,26.81583421378655,0.5435188004766307,1.6151717218262467,32.737232405749374,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.5435188004766307
cross_nominal,0.5,10000.0,True,61.162876035332125,7.820669794546508,26.81583421378655,0.43843317960221123,2.35452145375727,38.495924429667554,67.52206267186872,67.52206267186872,0.0,0.43843317960221123
perimeter_nominal,0.5,10000.0,True,72.70562001565267,8.52675905697192,26.81583421378655,0.3688275295364157,3.076197616300207,42.31031405327315,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.3688275295364157
perimeter_heavy,0.5,10000.0,True,156.2061847712519,12.498247267967294,26.81583421378655,0.17166947808792346,8.296825159086216,53.11457527265053,67.52206267186874,67.52206267186872,-1.4210854715202004e-14,0.17166947808792346
cross_light,1.0,100.0,True,61.009896688373075,7.81088322076147,0.26815834213786555,0.004395325294641413,1.7400909055301221,28.5214530753621,33.762316901508456,33.76231690150845,-7.105427357601002e-15,0.004395325294641413
cross_nominal,1.0,100.0,True,93.508067966955,9.669956978547267,0.26815834213786555,0.0028677562050862877,2.674813606564195,28.605163861469716,33.76231690150845,33.76231690150845,0.0,0.0028677562050862877
perimeter_nominal,1.0,100.0,True,132.85681622629684,11.526353119104796,0.26815834213786555,0.002018401085881117,3.8065747736770645,28.651708522002163,33.76231690150845,33.76231690150845,0.0,0.002018401085881117
