phi_deg,reflector,extra_areal_density_g_m2,sigma_max_total_g_m2,pv_sigma_threshold_same_efficiency_g_m2,required_specific_power_27p4pct_w_kg,required_specific_power_15pct_w_kg
0.25,cp1_subsystem_nasa_2009,0.0,135.0428398209951,130.0428398209951,2867.6242422367795,1569.8672858960472
0.25,cp1_subsystem_nasa_2009,5.0,135.0428398209951,125.04283982099511,2982.289913871474,1632.640463798252
0.25,cp1_subsystem_nasa_2009,10.0,135.0428398209951,120.04283982099511,3106.507648070306,1700.6428730311893
0.25,kapton_76um_nasa_2001,0.0,135.0428398209951,124.04283982099511,3006.332332750106,1645.8023719434889
0.25,kapton_76um_nasa_2001,5.0,135.0428398209951,119.04283982099511,3132.6033599395923,1714.9288466822586
0.25,kapton_76um_nasa_2001,10.0,135.0428398209951,114.04283982099511,3269.946632207129,1790.1167694564574
0.5,cp1_subsystem_nasa_2009,0.0,67.52206267186872,62.522062671868724,5964.51850856465,3265.2473587032755
0.5,cp1_subsystem_nasa_2009,5.0,67.52206267186872,57.522062671868724,6482.973361495507,3549.073008117978
0.5,cp1_subsystem_nasa_2009,10.0,67.52206267186872,52.522062671868724,7100.140036955098,3886.937976435273
0.5,kapton_76um_nasa_2001,0.0,67.52206267186872,56.522062671868724,6597.671464413858,3611.86394037255
0.5,kapton_76um_nasa_2001,5.0,67.52206267186872,51.522062671868724,7237.947796752569,3962.380180703961
0.5,kapton_76um_nasa_2001,10.0,67.52206267186872,46.522062671868724,8015.852663933927,4388.240509452879
1.0,cp1_subsystem_nasa_2009,0.0,33.76231690150845,28.76231690150845,12965.36719475622,7097.828756253405
1.0,cp1_subsystem_nasa_2009,5.0,33.76231690150845,23.76231690150845,15693.503354309998,8591.333953089415
1.0,cp1_subsystem_nasa_2009,10.0,33.76231690150845,18.76231690150845,19875.690297610236,10880.852352706333
1.0,kapton_76um_nasa_2001,0.0,33.76231690150845,22.76231690150845,16382.954407215337,8968.77066088431
1.0,kapton_76um_nasa_2001,5.0,33.76231690150845,17.76231690150845,20994.671025621134,11493.43304322325
1.0,kapton_76um_nasa_2001,10.0,33.76231690150845,12.762316901508449,29219.929490696413,15996.31176497979
1.5,cp1_subsystem_nasa_2009,0.0,22.50963977540003,17.50963977540003,21297.639744931894,11659.291831167095
1.5,cp1_subsystem_nasa_2009,5.0,22.50963977540003,12.509639775400029,29810.130962629984,16319.41476056386
1.5,cp1_subsystem_nasa_2009,10.0,22.50963977540003,7.509639775400029,49658.041018370335,27185.05895166259
1.5,kapton_76um_nasa_2001,0.0,22.50963977540003,11.509639775400029,32400.145206719906,17737.30577010214
1.5,kapton_76um_nasa_2001,5.0,22.50963977540003,6.509639775400029,57286.42641782491,31361.182345524583
1.5,kapton_76um_nasa_2001,10.0,22.50963977540003,1.5096397754000286,247021.84327462106,135230.9360992451
2.0,cp1_subsystem_nasa_2009,0.0,16.883729924599923,11.883729924599923,31380.2149969808,17178.949815865402
2.0,cp1_subsystem_nasa_2009,5.0,16.883729924599923,6.883729924599923,54173.246784035255,29656.886925566745
2.0,cp1_subsystem_nasa_2009,10.0,16.883729924599923,1.8837299245999226,197965.7461136323,108375.40845636805
2.0,kapton_76um_nasa_2001,0.0,16.883729924599923,5.883729924599923,63380.54342719633,34697.37778861113
2.0,kapton_76um_nasa_2001,5.0,16.883729924599923,0.8837299245999226,421977.3367624997,231009.49092837574
2.0,kapton_76um_nasa_2001,10.0,16.883729924599923,0.0,inf,inf
3.0,cp1_subsystem_nasa_2009,0.0,11.258677955443588,6.258677955443588,59583.509912928486,32618.70980634771
3.0,cp1_subsystem_nasa_2009,5.0,11.258677955443588,1.2586779554435878,296274.3554752862,162193.99022369683
3.0,cp1_subsystem_nasa_2009,10.0,11.258677955443588,0.0,inf,inf
3.0,kapton_76um_nasa_2001,0.0,11.258677955443588,0.25867795544358785,1441614.9198354268,789205.2480850876
3.0,kapton_76um_nasa_2001,5.0,11.258677955443588,0.0,inf,inf
3.0,kapton_76um_nasa_2001,10.0,11.258677955443588,0.0,inf,inf
5.0,cp1_subsystem_nasa_2009,0.0,6.7606982426332936,1.7606982426332936,211798.92781756358,115948.31814830123
5.0,cp1_subsystem_nasa_2009,5.0,6.7606982426332936,0.0,inf,inf
5.0,cp1_subsystem_nasa_2009,10.0,6.7606982426332936,0.0,inf,inf
5.0,kapton_76um_nasa_2001,0.0,6.7606982426332936,0.0,inf,inf
5.0,kapton_76um_nasa_2001,5.0,6.7606982426332936,0.0,inf,inf
5.0,kapton_76um_nasa_2001,10.0,6.7606982426332936,0.0,inf,inf
