case,phi_deg,extra_areal_density_g_m2,beta_required,pv_fill_factor_max,relative_to_ideal_swarm_same_eta,relative_to_ideal_swarm_vs_15pct_baseline,equivalent_ideal_ring_half_angle_deg_same_eta,efficiency_ratio_needed_for_parity
CP1 + ultralight tandem,1.5,0.0,0.06800970668451067,0.31951897400365015,0.31951897400365015,0.583654659180001,18.633836973228096,3.129704591466847
CP1 + projected space CIGS,1.5,0.0,0.06800970668451067,0.09948702101112115,0.09948702101112115,0.09948702101112115,5.709631641086275,10.051562403182372
CP1 + commercial CIGS,1.5,0.0,0.06800970668451067,0.010299788103176487,0.010299788103176487,0.01146709742153649,0.5901448228194248,97.08937601265767
CP1 + ultralight tandem,1.5,5.0,0.06800970668451067,0.22827809809124142,0.22827809809124142,0.41698799251333435,13.195717354780626,4.380621743222628
CP1 + projected space CIGS,1.5,5.0,0.06800970668451067,0.07107780691898022,0.07107780691898022,0.07107780691898022,4.07589521972474,14.069089120038193
CP1 + commercial CIGS,1.5,5.0,0.06800970668451067,0.007358611632588252,0.007358611632588252,0.00819258761761492,0.4216211947541775,135.8952000634757
CP1 + ultralight tandem,1.5,10.0,0.06800970668451067,0.13703722217883266,0.13703722217883266,0.25032132584666766,7.876439121806795,7.2972874384085715
CP1 + projected space CIGS,1.5,10.0,0.06800970668451067,0.042668592826839304,0.042668592826839304,0.042668592826839304,2.4454727114014903,23.436441976379925
CP1 + commercial CIGS,1.5,10.0,0.06800970668451067,0.004417435162000017,0.004417435162000017,0.004918077813693352,0.25310121421811127,226.37570520610535
CP1 + ultralight tandem,2.0,0.0,0.09067155217097127,0.21685638548540007,0.21685638548540007,0.3961243308199975,12.524460185535915,4.611346803377046
CP1 + projected space CIGS,2.0,0.0,0.09067155217097127,0.06752148552822819,0.06752148552822819,0.06752148552822819,3.8716418563582082,14.810100698716672
CP1 + commercial CIGS,2.0,0.0,0.09067155217097127,0.006990429367411719,0.006990429367411719,0.007782678029051715,0.40052536180107584,143.05272930184267
CP1 + ultralight tandem,2.0,5.0,0.09067155217097127,0.1256155095729913,0.1256155095729913,0.2294576641533308,7.216302061466607,7.9608004091161275
CP1 + projected space CIGS,2.0,5.0,0.09067155217097127,0.03911227143608726,0.03911227143608726,0.03911227143608726,2.2415398350125857,25.567423299208897
CP1 + commercial CIGS,2.0,5.0,0.09067155217097127,0.004049252896823484,0.004049252896823484,0.004508168225130146,0.2320057351837553,246.95913677914996
CP1 + ultralight tandem,2.0,10.0,0.09067155217097127,0.03437463366058253,0.03437463366058253,0.06279099748666409,1.9699095069340433,29.09121912029865
CP1 + projected space CIGS,2.0,10.0,0.09067155217097127,0.010703057343946337,0.010703057343946337,0.010703057343946337,0.6132517226278063,93.43124752719383
CP1 + commercial CIGS,2.0,10.0,0.09067155217097127,0.0011080764262352486,0.0011080764262352486,0.0012336584212085768,0.06348811559336133,902.4648267245931
CP1 + ultralight tandem,3.0,0.0,0.13597280291322045,0.11420945174167131,0.11420945174167131,0.2086225985147863,6.55802954787815,8.755842749879278
CP1 + projected space CIGS,3.0,0.0,0.13597280291322045,0.03556082439399195,0.03556082439399195,0.03556082439399195,2.0379148228575708,28.120832883979805
CP1 + commercial CIGS,3.0,0.0,0.13597280291322045,0.003681575267907993,0.003681575267907993,0.004098820464937565,0.2109392013242344,271.6228590291017
CP1 + ultralight tandem,3.0,5.0,0.13597280291322045,0.022968575829262552,0.022968575829262552,0.041955931848119604,1.3161181946382605,43.53774511025514
CP1 + projected space CIGS,3.0,5.0,0.13597280291322045,0.007151610301851021,0.00715161030185102,0.00715161030185102,0.40976057997262844,139.8286480656216
CP1 + commercial CIGS,3.0,5.0,0.13597280291322045,0.0007403987973197576,0.0007403987973197576,0.0008243106610159969,0.04242173011884881,1350.6234796976958
CP1 + ultralight tandem,3.0,10.0,0.13597280291322045,0.0,0.0,0.0,0.0,inf
CP1 + projected space CIGS,3.0,10.0,0.13597280291322045,0.0,0.0,0.0,0.0,inf
CP1 + commercial CIGS,3.0,10.0,0.13597280291322045,0.0,0.0,0.0,0.0,inf
CP1 + ultralight tandem,5.0,0.0,0.22643726191551997,0.032129529975060106,0.032129529975060106,0.058689941421109795,1.8412033391029308,31.124015843874144
CP1 + projected space CIGS,5.0,0.0,0.22643726191551997,0.010004010665325105,0.010004010665325105,0.010004010665325105,0.5731971505485017,99.95990942573656
CP1 + commercial CIGS,5.0,0.0,0.22643726191551997,0.0010357048486078198,0.0010357048486078198,0.0011530847314500394,0.059341527255590255,965.5260389523002
CP1 + ultralight tandem,5.0,5.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
CP1 + projected space CIGS,5.0,5.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
CP1 + commercial CIGS,5.0,5.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
CP1 + ultralight tandem,5.0,10.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
CP1 + projected space CIGS,5.0,10.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
CP1 + commercial CIGS,5.0,10.0,0.22643726191551997,0.0,0.0,0.0,0.0,inf
